model,feature,cross_C2,cross_C1,same_C2,same_C1,p_cross_C2,p_cross_C1,p_same_C2,p_same_C1
distilgpt2,heads,26,36,18,34,0.2281,0.3158,0.1579,0.2982
distilgpt2,residual,436,340,395,329,0.2907,0.2267,0.2633,0.2193
EleutherAI/gpt-neo-125M,heads,40,44,48,34,0.2410,0.2651,0.2892,0.2048
EleutherAI/gpt-neo-125M,residual,286,448,423,343,0.1907,0.2987,0.2820,0.2287
EleutherAI/pythia-1b,heads,4,6,3,1,0.2857,0.4286,0.2143,0.0714
EleutherAI/pythia-1b,residual,0,0,0,0,0.0000,0.0000,0.0000,0.0000
facebook/opt-125m,heads,40,32,28,25,0.3200,0.2560,0.2240,0.2000
facebook/opt-125m,residual,418,384,360,338,0.2787,0.2560,0.2400,0.2253
facebook/opt-350m,heads,8,15,15,6,0.1818,0.3409,0.3409,0.1364
facebook/opt-350m,residual,0,0,0,0,0.0000,0.0000,0.0000,0.0000
